created,text,retwc,hashtag,followers,friends
2021-06-09 15:45:00,b'Ewan McGregor gushes to Pedro Pascal about his excitement to work alongside Storm Troopers (for the first time!) in\xe2\x80\xa6 https://t.co/uHH8EWgB13',376,None,2581281,245133
2021-06-09 15:00:00,b'Can Pedro Pascal keep #TheMandalorian Season 3 secrets to himself\xe2\x80\x94even when chatting with fellow #StarWars star Ewa\xe2\x80\xa6 https://t.co/7FvQe3NFcG',1084,TheMandalorian,2581281,245133
2021-06-09 15:15:00,b'Ewan McGregor came straight from the set of the #ObiWanKenobi series to his virtual #ActorsOnActors chat with Pedro\xe2\x80\xa6 https://t.co/WH3KMfsiIn',354,ObiWanKenobi,2581281,245133
2021-06-09 16:19:41,"b""Actors on Actors Day 2: @PedroPascal1 and Ewan McGregor join forces to talk about 'Star Wars,' #TheMandalorian,\xe2\x80\xa6 https://t.co/cdPjv9HZ0O""",15,TheMandalorian,14559,1265
2021-06-07 15:00:30,"b'Variety\xe2\x80\x99s \xe2\x80\x98Actors on Actors\xe2\x80\x99 Season 14 to Feature Elizabeth Olsen, Pedro Pascal, Reg\xc3\xa9-Jean Page and\xc2\xa0More https://t.co/lqWG0h8BbI'",322,None,2581281,245133
2021-06-07 16:29:16,"b'Ewan McGregor, who has been a part of Star Wars since 1999 and kept this Obi-Wan show a secret for like ten years,\xe2\x80\xa6 https://t.co/mxI6wR8zHH'",461,None,12623,988
2021-06-07 15:53:48,"b""Obi-Wan &amp; Mando are having a chat \xf0\x9f\x92\xac\n\nEwan McGregor &amp; Pedro Pascal will interview each other during this season of '\xe2\x80\xa6 https://t.co/NHH7LfFlHV""",363,None,420074,44300
2021-06-07 16:31:56,"b""Ewan McGregor &amp; Pedro Pascal are interviewing each other during Variety's upcoming season of 'Actors on Actors' https://t.co/PD5PUfW0HC""",511,None,259787,58
2021-06-08 09:12:00,"b""STAR WARS: PEDRO PASCAL Confirms SEASON 3 Hasn't Started Shooting Yet https://t.co/VxhELsiayz https://t.co/8QUJXVDbcT""",16,None,245176,9788
2021-06-08 03:53:04,"b""Pedro Pascal says filming on The Mandalorian season three hasn't happened. https://t.co/Dof3z9SF7n https://t.co/ZABy82xBci""",33,None,253195,1885
